"definition","age"
"buba","22"
"guska","23"
"jelen","27"
"koka","18"
"konj","20"
"kornjača","27"
"koza","24"
"krava","18"
"krokodil","27"
"lane","no"
"lav","23"
"leptir","24"
"lisica","24"
"mačka","18"
"magarac","27"
"majmun","22"
"medo","18"
"medvjed","30"
"miš","20"
"mrav","24"
"ovca","24"
"pas","19"
"patka","21"
"pčela","29"
"pijetao","27"
"pile","19"
"pingvin","30"
"prase","23"
"ptica","18"
"purica","no"
"riba","20"
"slon","24"
"sova","29"
"srna","28"
"tigar","28"
"vjeverica","27"
"vrabac","19"
"vuk","24"
"zebra","no"
"zeko","19"
"žaba","23"
"žirafa","29"
"životinja","28"
"auto","18"
"autobus","24"
"avion","22"
"bicikl","23"
"brod","23"
"helikopter","28"
"kamion","23"
"kolica","23"
"motor","23"
"sanjke","27"
"traktor","22"
"tramvaj","28"
"vatrogasci","no"
"vlak","23"
"balon","21"
"bojica","24"
"flomaster","no"
"igra","24"
"igračka","25"
"knjiga","20"
"kocka","20"
"kreda","no"
"lopatica","27"
"lopta","19"
"lutka","22"
"ljepilo","30"
"olovka","23"
"pikule","no"
"plastelin","no"
"poklon","28"
"slagalice","27"
"slikovnica","26"
"banana","18"
"blitva","no"
"bombon","19"
"bundeva","no"
"čaj","20"
"čips","24"
"čokolada","20"
"čokolino","24"
"grah","24"
"grašak","27"
"griz","27"
"grožđe","25"
"grožđica","no"
"hamburger","no"
"hrana","no"
"hrenovke","25"
"jabuka","20"
"jagoda","27"
"jaje","18"
"jogurt","26"
"juha","22"
"kašica","no"
"kava","20"
"keks","20"
"kelj","no"
"kobasica","24"
"koka","19"
"kokice","27"
"kolač","23"
"krafna","27"
"krastavac","28"
"kruh","20"
"krumpir","24"
"kruška","23"
"kukuruz","no"
"lizalica","24"
"mahune","no"
"marmelada","28"
"maslac","30"
"med","24"
"meso","20"
"mlijeko","20"
"mrkve","24"
"naranča","23"
"njoke","no"
"orasi","no"
"palačinka","26"
"pecivo","29"
"piće","30"
"pizza","28"
"pomfrit","no"
"puding","27"
"riba","20"
"salama","24"
"salata","27"
"sendvič","28"
"sir","23"
"sladole","25"
"sok","19"
"sol","24"
"šećer","24"
"špageti","28"
"špinat","30"
"tijesto","30"
"trešnja","30"
"umak","no"
"voda","19"
"žvaka","24"
"cipela","17"
"čarapa","20"
"čizme","24"
"gaćice","24"
"gumb","25"
"haljina","25"
"hlače","23"
"hulahopke","no"
"jakna","20"
"kapa","18"
"kaput","27"
"kratke hlačice","no"
"lančić","30"
"majica","23"
"Skafander","no"
"papuče","20"
"pelena","20"
"pidžama","24"
"pojas","no"
"rupčić","25"
"rukavice","24"
"suknja","no"
"šal","23"
"štramplice","29"
"tenisice","23"
"traperice","30"
"trenirka","27"
"zatvarač","no"
"brada","23"
"glava","19"
"gležanj","no"
"guza","19"
"jezik","24"
"koljeno","27"
"kosa","20"
"lice","22"
"noga","19"
"nos","19"
"obraz","no"
"oko","17"
"palac","24"
"penis","30"
"prst","20"
"pupak","19"
"rame","no"
"ruka","19"
"stopalo","no"
"šaka","no"
"trbuh","24"
"uho","20"
"usnice","no"
"usta","20"
"vagina","no"
"vrat","24"
"zub","20"
"biljka","no"
"boca","23"
"bočica","19"
"čaša","20"
"čavao","no"
"čekić","25"
"češalj","24"
"četka","27"
"četkica za zube","26"
"deka","no"
"hodalica","no"
"igla","28"
"jastuk","24"
"kamera","no"
"kantica","25"
"kanta","28"
"ključevi","21"
"kolica","23"
"košara","28"
"kuhača","25"
"kutija","25"
"lavor","30"
"lijek","28"
"limenka","no"
"lonac","26"
"lopatica","28"
"metla","23"
"naočale","23"
"novac","22"
"novčanik","28"
"nož","23"
"papir","23"
"radio","24"
"ručnik","25"
"salveta","no"
"sapun","25"
"sat","20"
"slika","24"
"smeće","26"
"svjetiljka","no"
"svjetlo","23"
"šalica","24"
"škare","23"
"tanjur","24"
"telefon","20"
"usisavač","27"
"vilica","24"
"zdjelica","no"
"zvono","25"
"žlica","20"
"balkon","27"
"dnevna soba","no"
"fotelja","no"
"garaža","28"
"hladnjak","27"
"hodnik","27"
"kada","22"
"kauč","27"
"klupa","28"
"kolijevka","no"
"krevet","22"
"krevetić","27"
"kuhinja","24"
"kupaonica","24"
"ladica","26"
"ogradica","no"
"ormar","24"
"pećnica","no"
"podrume","no"
"prozor","22"
"soba","22"
"spavaća soba","no"
"stepenice","no"
"stol","22"
"stolica","22"
"stroj za rublja","30"
"štednjak","23"
"televizor","22"
"tuš","27"
"tuta","20"
"umivaonik","no"
"vrata","20"
"zahod","25"
"bazen","no"
"cvijeće","20"
"drvo","23"
"dvorište","29"
"kamen","24"
"kiša","20"
"krov","28"
"lopata","27"
"ljestve","no"
"ljuljačka","25"
"mjesec","24"
"more","24"
"nebo","26"
"oblak","28"
"ograda","no"
"park","27"
"pješčanik","no"
"pločnik","no"
"snijeg","24"
"snjegović","no"
"stijena","no"
"sunce","23"
"štap","26"
"tobogan","28"
"trava","23"
"ulica","30"
"vjetar","24"
"voda","19"
"vrt","28"
"zastava","30"
"zvijezda","28"
