"W1","W2","dist"
"auto","autobus",4
"auto","avion",3
"auto","balkon",4
"auto","balon",4
"auto","banana",5
"auto","bazen",4
"auto","bicikl",8
"auto","biljka",5
"auto","blitva",6
"auto","boca",5
"auto","bočica",7
"auto","bojica",6
"auto","bombon",5
"auto","brada",5
"auto","brod",5
"auto","buba",5
"auto","bundeva",7
"auto","čaj",5
"auto","čarapa",7
"auto","čaša",5
"auto","čavao",4
"auto","čekić",6
"auto","češalj",6
"auto","četka",6
"auto","četkica za zube",16
"auto","cipela",7
"auto","čips",6
"auto","čizme",6
"auto","čokolada",10
"auto","čokolino",9
"auto","cvijeće",8
"auto","deka",5
"auto","dnevna soba",10
"auto","drvo",4
"auto","dvorište",7
"auto","flomaster",8
"auto","fotelja",6
"auto","gaćice",6
"auto","garaža",6
"auto","glava",5
"auto","gležanj",6
"auto","grah",5
"auto","grašak",5
"auto","griz",5
"auto","grožđe",7
"auto","grožđica",9
"auto","gumb",5
"auto","guska",5
"auto","guza",5
"auto","haljina",5
"auto","hamburger",7
"auto","helikopter",10
"auto","hlače",5
"auto","hladnjak",6
"auto","hodalica",9
"auto","hodnik",6
"auto","hrana",5
"auto","hrenovke",8
"auto","hulahopke",9
"auto","igla",4
"auto","igra",4
"auto","igračka",7
"auto","jabuka",4
"auto","jagoda",5
"auto","jaje",5
"auto","jakna",4
"auto","jastuk",4
"auto","jelen",5
"auto","jezik",5
"auto","jogurt",5
"auto","juha",5
"auto","kada",4
"auto","kamen",4
"auto","kamera",5
"auto","kamion",4
"auto","kanta",3
"auto","kantica",6
"auto","kapa",4
"auto","kaput",3
"auto","kašica",5
"auto","kauč",2
"auto","kava",4
"auto","keks",5
"auto","kelj",5
"auto","kiša",5
"auto","ključevi",8
"auto","klupa",6
"auto","knjiga",6
"auto","kobasica",9
"auto","kocka",6
"auto","koka",5
"auto","koka",5
"auto","koka",5
"auto","koka",5
"auto","kokice",6
"auto","kolač",5
"auto","kolica",6
"auto","kolica",6
"auto","kolica",6
"auto","kolica",6
"auto","kolijevka",10
"auto","koljeno",5
"auto","konj",5
"auto","kornjača",7
"auto","kosa",5
"auto","košara",6
"auto","koza",5
"auto","krafna",5
"auto","krastavac",8
"auto","kratke hlačice",14
"auto","krava",5
"auto","kreda",6
"auto","krevet",6
"auto","krevetić",8
"auto","krokodil",8
"auto","krov",5
"auto","kruh",5
"auto","krumpir",7
"auto","kruška",6
"auto","kuhača",6
"auto","kuhinja",6
"auto","kukuruz",6
"auto","kupaonica",10
"auto","kutija",6
"auto","ladica",5
"auto","lančić",6
"auto","lane",4
"auto","lav",4
"auto","lavor",4
"auto","leptir",5
"auto","lice",5
"auto","lijek",5
"auto","limenka",7
"auto","lisica",6
"auto","lizalica",9
"auto","ljepilo",5
"auto","ljestve",5
"auto","ljuljačka",7
"auto","lonac",5
"auto","lopata",5
"auto","lopatica",9
"auto","lopatica",9
"auto","lopatica",9
"auto","lopatica",9
"auto","lopta",4
"auto","lutka",5
"auto","mačka",5
"auto","magarac",6
"auto","mahune",4
"auto","majica",6
"auto","majmun",6
"auto","marmelada",10
"auto","maslac",5
"auto","med",5
"auto","medo",4
"auto","medvjed",7
"auto","meso",4
"auto","metla",5
"auto","miš",5
"auto","mjesec",6
"auto","mlijeko",6
"auto","more",5
"auto","motor",4
"auto","mrav",5
"auto","mrkve",6
"auto","naočale",7
"auto","naranča",7
"auto","nebo",4
"auto","njoke",5
"auto","noga",5
"auto","nos",5
"auto","novac",5
"auto","novčanik",8
"auto","nož",5
"auto","oblak",5
"auto","obraz",5
"auto","ograda",6
"auto","ogradica",9
"auto","oko",3
"auto","olovka",6
"auto","orasi",5
"auto","ormar",5
"auto","ovca",4
"auto","palac",4
"auto","palačinka",9
"auto","papir",4
"auto","papuče",4
"auto","park",5
"auto","pas",4
"auto","patka",4
"auto","pčela",7
"auto","pecivo",6
"auto","pećnica",8
"auto","pelena",6
"auto","penis",5
"auto","piće",5
"auto","pidžama",7
