"definition","age"
"abe","22"
"gås","32"
"løve","23"
"and","22"
"hane","29"
"mus","22"
"bamse","20"
"hest","21"
"myg","31"
"bi","24"
"hjort","no"
"myre","24"
"bjørn","26"
"hvalp","35"
"pingvin","27"
"dyr","25"
"hund","20"
"pony","no"
"egern","32"
"høne","24"
"skildpadde","26"
"elefant","22"
"kalkun","no"
"sommerfugl","24"
"fisk","22"
"kanin","23"
"tiger","24"
"flue","23"
"kat","21"
"ugle","26"
"frø","24"
"killing","30"
"ulv","33"
"fugl","20"
"ko","20"
"zebra","28"
"får","24"
"krokodille","25"
"æsel","30"
"giraf","24"
"kylling","25"
"gris","22"
"lam","27"
"barnevogn","24"
"flyvemaskine","23"
"motorcykel","25"
"bil","19"
"helikopter","28"
"skib","24"
"brandbil","25"
"klapvogn","24"
"tog","22"
"bus","21"
"kælk","30"
"traktor","20"
"cykel","22"
"lastbil","24"
"ballon","22"
"farveblyant","no"
"legetøj","25"
"blyant","27"
"gave","24"
"lego","29"
"bog","20"
"historie","29"
"puslespil","25"
"bold","19"
"klods","25"
"spil","27"
"dukke","22"
"kridt","33"
"sæbebobler","28"
"duplo","no"
"kuglepen","32"
"modellérvoks","35"
"agurk","22"
"kiks","19"
"sandwich","no"
"appelsin","23"
"kinderæg","no"
"slik","22"
"banan","20"
"kylling","25"
"slikkepind","26"
"boller","21"
"kød","24"
"smør","23"
"burger","30"
"leverpostej","24"
"småkager","27"
"brød","22"
"mad","16"
"sodavand","24"
"bønner","35"
"melon","30"
"sovs","25"
"chips","25"
"mælk","20"
"spaghetti","26"
"chokolade","22"
"mælkesnitte","no"
"spegepølse","27"
"cola","24"
"nødder","32"
"syltetøj","26"
"cornflakes","26"
"ost","22"
"suppe","30"
"dessert","33"
"ostehaps","30"
"te","26"
"fisk","22"
"pandekager","26"
"tun","33"
"frikadeller","24"
"pasta","25"
"tyggegummi","29"
"gulerødder","23"
"peanutbutter","no"
"vand","22"
"grød","25"
"pizza","24"
"vindruer","26"
"havregryn","25"
"pomfritter","26"
"vingummi","26"
"is","19"
"popcorn","26"
"vitaminer","26"
"jordbær","24"
"pølser","23"
"yoghurt","24"
"juice","21"
"rosiner","22"
"æble","22"
"kaffe","23"
"rugbrød","24"
"æg","22"
"kager","22"
"saftevand","22"
"ærter","26"
"kartofler","24"
"salt","26"
"ble","20"
"hue","22"
"strømpebukser","29"
"bluse","24"
"jakke","22"
"strømper","22"
"bukser","22"
"kjole","24"
"støvler","23"
"bælte","32"
"knap","25"
"sut","20"
"flyverdragt","27"
"kondisko","no"
"sweater","no"
"frakke","33"
"lynlås","26"
"tshirt","30"
"hagesmæk","24"
"nattøj","24"
"trusser","35"
"halskæde","29"
"shorts","27"
"trøje","24"
"halstørklæde","33"
"sko","18"
"underbukser","27"
"hjemmesko","22"
"sokker","27"
"vanter","26"
"ankel","no"
"hår","21"
"sår","29"
"ansigt","30"
"kind","25"
"tænder","23"
"arm","22"
"knæ","25"
"tissekone","28"
"ben","22"
"læber","28"
"tissemand","25"
"bryster","26"
"mave","22"
"tunge","26"
"finger","22"
"mund","22"
"tå","27"
"fødder","22"
"navle","23"
"øje","20"
"hage","25"
"numse","24"
"øre","21"
"hoved","22"
"næse","21"
"hånd","22"
"skulder","32"
"affald","35"
"klokke","29"
"saks","25"
"bakke","35"
"kop","22"
"serviet","31"
"billede","25"
"kost","25"
"ske","20"
"briller","23"
"kniv","24"
"skrald","32"
"børste","25"
"krukke","no"
"skål","26"
"bånd","32"
"krus","29"
"småpenge","no"
"dyne","22"
"køkkenrulle","29"
"spand","25"
"dåse","32"
"lampe","25"
"støvsuger","24"
"flaske","26"
"lys","22"
"sæbe","24"
"gaffel","23"
"medicin","33"
"tallerken","24"
"glas","24"
"nøgler","22"
"tandbørste","24"
"gåvogn","no"
"papir","24"
"telefon","22"
"hammer","24"
"penge","26"
"toilet","29"
"håndklæde","26"
"plante","33"
"tæppe","26"
"kam","26"
"pude","22"
"ur","23"
"kamera","32"
"pung","27"
"æske","no"
"kasse","26"
"radio","30"
"altan","no"
"kælder","32"
"stue","25"
"badekar","25"
"køkken","26"
"terrasse","34"
"badeværelse","27"
"køleskab","26"
"toilet","26"
"bord","22"
"ovn","26"
"trapper","25"
"bruser","26"
"potte","26"
"tv","24"
"dør","22"
"seng","22"
"tørretumbler","35"
"garage","32"
"skab","26"
"vask","29"
"gyngestol","no"
"skuffe","28"
"vaskemaskine","27"
"høj stol","33"
"sofa","25"
"vindue","25"
"komfur","28"
"soveværelse","27"
"vugge","36"
"kravlegård","35"
"stol","21"
"værelse","25"
"baggård","no"
"måne","24"
"sol","23"
"blomst","22"
"pind","26"
"sten","22"
"flag","24"
"græsslåmaskine","26"
"stige","27"
"fortov","29"
"regn","24"
"stjerne","26"
"gade","31"
"rutschebane","24"
"badebassin","31"
"græs","24"
"sandkasse","24"
"tag","28"
"gynge","20"
"skovl","22"
"træ","24"
"haveslange","32"
"sky","28"
"vand","22"
"himmel","29"
"slæde","no"
"vind","32"
"kælk","35"
"sne","25"
"køkkenhave","no"
"snemand","28"
"arbejde","22"
