"W1","W2","dist"
"abe","æble",2
"abe","æg",3
"abe","ærter",4
"abe","æsel",4
"abe","æske",3
"abe","affald",5
"abe","agurk",5
"abe","altan",5
"abe","and",2
"abe","ankel",5
"abe","ansigt",5
"abe","appelsin",9
"abe","arbejde",5
"abe","arm",3
"abe","badebassin",9
"abe","badekar",7
"abe","badeværelse",9
"abe","bælte",4
"abe","baggård",7
"abe","bakke",3
"abe","ballon",5
"abe","bamse",4
"abe","banan",5
"abe","bånd",4
"abe","barnevogn",10
"abe","ben",4
"abe","bi",4
"abe","bil",4
"abe","billede",6
"abe","bjørn",5
"abe","ble",4
"abe","blomst",6
"abe","bluse",5
"abe","blyant",5
"abe","bog",4
"abe","bold",4
"abe","boller",4
"abe","bønner",4
"abe","bord",4
"abe","børste",5
"abe","brandbil",6
"abe","briller",5
"abe","brød",5
"abe","bruser",5
"abe","bryster",6
"abe","bukser",5
"abe","burger",4
"abe","bus",4
"abe","chips",6
"abe","chokolade",9
"abe","cola",4
"abe","cornflakes",10
"abe","cykel",5
"abe","dåse",3
"abe","dessert",6
"abe","dør",4
"abe","dukke",3
"abe","duplo",5
"abe","dyne",3
"abe","dyr",4
"abe","egern",5
"abe","elefant",7
"abe","får",4
"abe","farveblyant",11
"abe","finger",4
"abe","fisk",4
"abe","fisk",4
"abe","fisk",4
"abe","fisk",4
"abe","flag",4
"abe","flaske",4
"abe","flue",4
"abe","flyvemaskine",11
"abe","flyverdragt",12
"abe","fødder",4
"abe","fortov",6
"abe","frakke",4
"abe","frikadeller",11
"abe","frø",4
"abe","fugl",4
"abe","gade",2
"abe","gaffel",5
"abe","garage",7
"abe","gås",4
"abe","gave",3
"abe","gåvogn",6
"abe","giraf",6
"abe","glas",4
"abe","græs",4
"abe","græsslåmaskine",13
"abe","gris",5
"abe","grød",5
"abe","gulerødder",9
"abe","gynge",3
"abe","gyngestol",9
"abe","hage",4
"abe","hagesmæk",9
"abe","halskæde",6
"abe","halstørklæde",11
"abe","hammer",4
"abe","hånd",4
"abe","håndklæde",7
"abe","hane",3
"abe","hår",4
"abe","haveslange",8
"abe","havregryn",10
"abe","helikopter",10
"abe","hest",4
"abe","himmel",5
"abe","historie",7
"abe","hjemmesko",8
"abe","hjort",4
"abe","høj stol",8
"abe","høne",3
"abe","hoved",5
"abe","hue",4
"abe","hund",4
"abe","hvalp",3
"abe","is",3
"abe","jakke",3
"abe","jordbær",5
"abe","juice",5
"abe","kælder",4
"abe","kælk",4
"abe","kælk",4
"abe","kælk",4
"abe","kælk",4
"abe","kaffe",3
"abe","kager",4
"abe","kalkun",6
"abe","kam",4
"abe","kamera",6
"abe","kanin",5
"abe","kartofler",8
"abe","kasse",2
"abe","kat",3
"abe","kiks",4
"abe","killing",5
"abe","kind",4
"abe","kinderæg",7
"abe","kjole",4
"abe","klapvogn",8
"abe","klods",5
"abe","klokke",4
"abe","knæ",4
"abe","knap",5
"abe","kniv",5
"abe","ko",4
"abe","kød",4
"abe","køkken",5
"abe","køkkenhave",8
"abe","køkkenrulle",9
"abe","køleskab",8
"abe","komfur",7
"abe","kondisko",9
"abe","kop",4
"abe","kost",4
"abe","kravlegård",10
"abe","kridt",5
"abe","krokodille",9
"abe","krukke",4
"abe","krus",5
"abe","kuglepen",8
"abe","kylling",5
"abe","kylling",5
"abe","kylling",5
"abe","kylling",5
"abe","læber",3
"abe","lam",4
"abe","lampe",4
"abe","lastbil",5
"abe","legetøj",8
"abe","lego",4
"abe","leverpostej",12
"abe","løve",3
"abe","lynlås",6
"abe","lys",4
"abe","mad",3
"abe","mælk",4
"abe","mælkesnitte",10
"abe","måne",3
"abe","mave",3
"abe","medicin",9
"abe","melon",6
"abe","modellérvoks",12
"abe","motorcykel",10
"abe","mund",4
"abe","mus",4
"abe","myg",4
"abe","myre",4
"abe","næse",3
"abe","nattøj",6
"abe","navle",4
"abe","nødder",5
"abe","nøgler",5
"abe","numse",4
"abe","øje",2
"abe","øre",4
"abe","ost",3
"abe","ostehaps",8
"abe","ovn",3
"abe","pandekager",9
"abe","papir",5
"abe","pasta",4
"abe","peanutbutter",10
"abe","penge",3
"abe","pind",4
"abe","pingvin",7
"abe","pizza",5
"abe","plante",4
"abe","pølser",5
"abe","pomfritter",8
"abe","pony",4
"abe","popcorn",7
"abe","potte",3
"abe","pude",3
"abe","pung",4
"abe","puslespil",10
"abe","radio",6
"abe","regn",4
"abe","rosiner",6
"abe","rugbrød",5
"abe","rutschebane",9
"abe","sæbe",2
"abe","sæbebobler",9
"abe","saftevand",9
"abe","saks",4
"abe","salt",3
"abe","sandkasse",5
"abe","sandwich",6
"abe","sår",4
"abe","seng",4
"abe","serviet",9
"abe","shorts",4
"abe","skab",3
"abe","skål",5
"abe","ske",4
"abe","skib",4
"abe","skildpadde",6
"abe","sko",4
"abe","skovl",5
"abe","skrald",6
"abe","skuffe",4
"abe","skulder",5
"abe","sky",4
"abe","slæde",4
"abe","slik",5
"abe","slikkepind",9
"abe","småkager",8
"abe","småpenge",6
"abe","smør",5
"abe","sne",4
"abe","snemand",6
"abe","sodavand",7
"abe","sofa",4
"abe","sokker",4
"abe","sol",4
