"definition","age"
"alligator","25"
"animal","24"
"ant","25"
"bear","18"
"bee","22"
"bird","18"
"bug","21"
"bunny","20"
"butterfly","23"
"cat","18"
"chicken","22"
"cow","19"
"deer","27"
"dog","16"
"donkey","28"
"duck","17"
"elephant","22"
"fish","18"
"frog","22"
"giraffe","24"
"goose","28"
"hen","no"
"horse","21"
"kitty","18"
"lamb","26"
"lion","23"
"monkey","22"
"moose","28"
"mouse","22"
"owl","22"
"penguin","28"
"pig","22"
"pony","28"
"puppy","21"
"rooster","28"
"sheep","23"
"squirrel","25"
"teddybear","23"
"tiger","23"
"turkey","27"
"turtle","23"
"wolf","28"
"zebra","24"
"airplane","20"
"bicycle","21"
"boat","20"
"bus","21"
"car","18"
"firetruck","24"
"helicopter","25"
"motorcycle","25"
"sled","30"
"stroller","25"
"tractor","25"
"train","22"
"tricycle","30"
"truck","18"
"ball","16"
"balloon","18"
"bat","26"
"block","22"
"book","16"
"bubbles","18"
"chalk","28"
"crayon","22"
"doll","22"
"game","27"
"glue","28"
"pen","23"
"pencil","25"
"play dough","27"
"present","24"
"puzzle","24"
"story","24"
"toy","21"
"apple","18"
"applesauce","26"
"banana","16"
"beans","24"
"bread","22"
"butter","24"
"cake","22"
"candy","23"
"carrots","24"
"cereal","22"
"cheerios","23"
"cheese","18"
"chicken","22"
"chocolate","24"
"coffee","24"
"coke","28"
"cookie","18"
"corn","24"
"cracker","19"
"donut","26"
"drink","21"
"egg","22"
"fish","22"
"food","23"
"french fries","23"
"grapes","22"
"green beans","28"
"gum","26"
"hamburger","25"
"ice","22"
"ice cream","22"
"jello","28"
"jelly","27"
"juice","18"
"lollipop","28"
"meat","26"
"melon","28"
"milk","18"
"muffin","27"
"noodles","24"
"nuts","28"
"orange","22"
"pancake","23"
"peas","24"
"peanut butter","25"
"pickle","26"
"pizza","22"
"popcorn","24"
"popsicle","25"
"potato chip","24"
"potato","25"
"pretzel","28"
"pudding","28"
"pumpkin","26"
"raisin","24"
"salt","28"
"sandwich","25"
"sauce","28"
"soda","26"
"soup","25"
"spaghetti","24"
"strawberry","23"
"toast","23"
"tuna","no"
"vanilla","no"
"vitamins","27"
"water","19"
"yogurt","22"
"beads","30"
"belt","26"
"bib","23"
"boots","22"
"button","22"
"coat","22"
"diaper","19"
"dress","26"
"gloves","28"
"hat","18"
"jacket","23"
"jeans","28"
"mittens","28"
"necklace","26"
"pajamas","23"
"pants","22"
"scarf","no"
"shirt","22"
"shoe","16"
"shorts","25"
"slipper","26"
"sneaker","no"
"snowsuit","no"
"sock","22"
"sweater","22"
"tights","no"
"underpants","28"
"zipper","24"
"ankle","30"
"arm","21"
"belly button","20"
"buttocks","22"
"cheek","22"
"chin","24"
"ear","18"
"eye","18"
"face","23"
"finger","21"
"foot","22"
"hair","19"
"hand","21"
"head","21"
"knee","22"
"leg","22"
"lips","25"
"mouth","19"
"nose","18"
"owie","19"
"penis","27"
"shoulder","28"
"toe","21"
"tongue","22"
"tooth","22"
"tummy","22"
"vagina","no"
"basket","25"
"blanket","20"
"bottle","19"
"bowl","23"
"box","22"
"broom","23"
"brush","22"
"bucket","26"
"camera","25"
"can","28"
"clock","23"
"comb","25"
"cup","19"
"dish","27"
"fork","22"
"garbage","26"
"glass","26"
"glasses","23"
"hammer","26"
"jar","29"
"keys","24"
"knife","25"
"lamp","28"
"light","20"
"medicine","24"
"money","23"
"mop","28"
"nail","28"
"napkin","24"
"paper","22"
"penny","26"
"picture","24"
"pillow","22"
"plant","26"
"plate","23"
"purse","24"
"radio","27"
"scissors","25"
"soap","22"
"spoon","19"
"tape","26"
"telephone","21"
"tissue","24"
"toothbrush","22"
"towel","23"
"trash","24"
"tray","no"
"vacuum","25"
"walker","no"
"watch","24"
"basement","no"
"bathroom","23"
"bathtub","22"
"bed","20"
"bedroom","25"
"bench","no"
"chair","21"
"closet","26"
"couch","24"
"crib","26"
"door","20"
"drawer","27"
"dryer","28"
"garage","26"
"high chair","26"
"kitchen","23"
"living room","28"
"oven","27"
"play pen","no"
"porch","no"
"potty","21"
"rocking chair","27"
"refrigerator","25"
"room","24"
"shower","24"
"sink","25"
"sofa","no"
"stairs","25"
"stove","26"
"table","23"
"TV","22"
"window","25"
"washing machine","27"
"backyard","28"
"cloud","26"
"flag","26"
"flower","19"
"garden","28"
"grass","23"
"hose","27"
"ladder","27"
"lawn mower","27"
"moon","21"
"pool","24"
"rain","22"
"rock","22"
"roof","28"
"sandbox","27"
"shovel","26"
"sidewalk","28"
"sky","24"
"slide","22"
"snow","25"
"snowman","27"
"sprinkler","28"
"star","22"
"stick","24"
"stone","no"
"street","25"
"sun","23"
"swing","22"
"tree","20"
"water","19"
"wind","27"
