"W1","W2","dist"
"airplane","alligator",7
"airplane","animal",7
"airplane","ankle",7
"airplane","ant",7
"airplane","apple",6
"airplane","applesauce",9
"airplane","arm",7
"airplane","backyard",8
"airplane","ball",7
"airplane","balloon",7
"airplane","banana",8
"airplane","basement",8
"airplane","basket",7
"airplane","bat",8
"airplane","bathroom",8
"airplane","bathtub",8
"airplane","beads",8
"airplane","beans",8
"airplane","bear",6
"airplane","bed",7
"airplane","bedroom",7
"airplane","bee",8
"airplane","belly button",8
"airplane","belt",6
"airplane","bench",7
"airplane","bib",7
"airplane","bicycle",9
"airplane","bird",8
"airplane","blanket",7
"airplane","block",8
"airplane","boat",8
"airplane","book",8
"airplane","boots",8
"airplane","bottle",8
"airplane","bowl",7
"airplane","box",8
"airplane","bread",7
"airplane","broom",7
"airplane","brush",7
"airplane","bubbles",8
"airplane","bucket",7
"airplane","bug",8
"airplane","bunny",8
"airplane","bus",8
"airplane","butter",8
"airplane","butterfly",8
"airplane","buttocks",8
"airplane","button",7
"airplane","cake",6
"airplane","camera",8
"airplane","can",7
"airplane","candy",8
"airplane","car",8
"airplane","carrots",7
"airplane","cat",8
"airplane","cereal",8
"airplane","chair",7
"airplane","chalk",8
"airplane","cheek",8
"airplane","cheerios",8
"airplane","cheese",8
"airplane","chicken",6
"airplane","chicken",6
"airplane","chicken",6
"airplane","chicken",6
"airplane","chin",6
"airplane","chocolate",8
"airplane","clock",8
"airplane","closet",7
"airplane","cloud",8
"airplane","coat",8
"airplane","coffee",8
"airplane","coke",8
"airplane","comb",8
"airplane","cookie",8
"airplane","corn",7
"airplane","couch",8
"airplane","cow",8
"airplane","cracker",7
"airplane","crayon",6
"airplane","crib",6
"airplane","cup",7
"airplane","deer",7
"airplane","diaper",8
"airplane","dish",7
"airplane","dog",8
"airplane","doll",7
"airplane","donkey",8
"airplane","donut",8
"airplane","door",8
"airplane","drawer",7
"airplane","dress",7
"airplane","drink",7
"airplane","dryer",6
"airplane","duck",8
"airplane","ear",6
"airplane","egg",6
"airplane","elephant",6
"airplane","eye",6
"airplane","face",6
"airplane","finger",8
"airplane","firetruck",9
"airplane","fish",7
"airplane","fish",7
"airplane","fish",7
"airplane","fish",7
"airplane","flag",7
