"definition","age"
"organo genitale femminile","30"
"orecchio","21"
"ombelico","25"
"occhio","21"
"naso","21"
"mano","18"
"lingua","24"
"labbra","29"
"guance","25"
"gola","25"
"ginocchi","25"
"gambe","22"
"faccia","23"
"dito","21"
"denti","21"
"caviglia","no"
"capelli","21"
"braccio","24"
"bocca","19"
"vestito","25"
"tuta","26"
"stivali","30"
"sciarpa","27"
"scarpe","18"
"pigiama","22"
"pantofole","26"
"pantaloni","22"
"pannolino","21"
"occhiali","22"
"mutande","25"
"maglione","25"
"jeans","26"
"guanti","24"
"grembiule","32"
"gonna","28"
"giacca","26"
"collana","24"
"cinta","26"
"cappotto","22"
"cappello","22"
"camicia","25"
"calzettoni","31"
"calze","23"
"bretelle","33"
"bottone","24"
"borsa","22"
"bavaglino","23"
"zucchine","29"
"zucchero","22"
"yogurt","24"
"vino","24"
"verdura","31"
"uva","21"
"uovo","22"
"tortellini","29"
"torta","22"
"tonno","29"
"the","24"
"sugo","25"
"succo di frutta","22"
"spinaci","30"
"spaghetti","28"
"sale","24"
"riso","23"
"pomodori","24"
"polpette","26"
"pollo","22"
"pizza","21"
"piselli","25"
"pesca","28"
"pera","21"
"patatine","24"
"patate","21"
"pasta","21"
"pappa","18"
"panna","25"
"panino","26"
"pane","18"
"olio","22"
"noccioline","31"
"minestrone","25"
"miele","26"
"melone","30"
"mela","20"
"marmellata","25"
"mandarino","25"
"leccalecca","29"
"latte","18"
"kiwi","32"
"gomma da masticare","31"
"ghiaccio","29"
"gelato","21"
"fragola","25"
"formaggio","22"
"fagiolini","29"
"fagioli","26"
"crema","26"
"cracker","23"
"cocomero","32"
"coca cola","26"
"cioccolata","23"
"ciliegie","30"
"carote","24"
"carne","21"
"caramella","21"
"camomilla","28"
"caffe","22"
"cacao","33"
"burro","29"
"budino","33"
"biscotti","18"
"banana","20"
"aranciata","25"
"arancia","24"
"acqua","18"
"trottola","29"
"pongo","28"
"tromba","28"
"tamburo","26"
"soldatini","32"
"secchiello","24"
"pupazzi","30"
"pistola","26"
"palloncino","24"
"palla","18"
"paletta","24"
"giocattolo","25"
"favola","25"
"cubi","27"
"costruzioni","25"
"casetta","24"
"birilli","33"
"bambola","22"
"treno","22"
"trattore","25"
"slitta","32"
"passeggino","23"
"motocicletta","24"
"jeep","34"
"gru","28"
"elicottero","25"
"camion","23"
"bicicletta","22"
"barca","23"
"automobile","24"
"autobus","26"
"aereo","21"
"zebra","30"
"zanzara","25"
"uccellino","23"
"topo","24"
"tigre","26"
"tartaruga","25"
"tacchino","31"
"scoiattolo","30"
"scimmia","25"
"rana","25"
"pulcino","25"
"pinguino","30"
"pesciolino","22"
"pecora","23"
"papera","26"
"orso","23"
"oca","26"
"mucca","22"
"mosca","24"
"maiale","24"
"lupo","22"
"leone","24"
"ippopotamo","28"
"gufo","30"
"giraffa","25"
"gatto","21"
"gallo","24"
"gallina","23"
"formica","25"
"foca","28"
"farfalla","22"
"elefante","23"
"cucciolo","30"
"coniglio","25"
"coccodrillo","25"
"cerbiatto","31"
"cavallo","21"
"capra","31"
"cane","21"
"asino","27"
"ape","24"
"animale","26"
"agnello","36"
"organo genitale maschile","25"
"pancia","21"
"piede","21"
"sederino","23"
"seno","25"
"spalla","29"
"testa","21"
"unghie","24"
"asciugamano","25"
"aspirapolvere","30"
"biberon","21"
"bicchiere","21"
"bottiglia","23"
"candeline","26"
"cestino","30"
"chiave","21"
"ciuccio","18"
"colori","25"
"coltello","23"
"coperchio","29"
"coperta","24"
"cucchiaio","21"
"cuscino","24"
"dentifricio","25"
"disegno","26"
"fazzoletto","25"
"forbici","24"
"forchetta","23"
"fotografia","25"
"giornale","25"
"luce","21"
"libro","22"
"martello","26"
"matita","21"
"medicina","25"
"musica","24"
"ombrello","22"
"orologio","21"
"pentola","25"
"pettine","22"
"pianta","25"
"piatto","22"
"sacchetto","30"
"sapone","22"
"scatola","28"
"scopa","23"
"secchio","25"
"shampoo","31"
"soldi","22"
"spazzolino da denti","24"
"specchio","25"
"straccio","29"
"tappo","21"
"tazza","24"
"telefono","22"
"termometro","25"
"termosifone","28"
"vasino","26"
"armadio","26"
"bagno","22"
"bidè","25"
"camera","25"
"cantina","32"
"cassetto","25"
"cucina","24"
"culla","31"
"divano","25"
"doccia","24"
"ferro da stiro","25"
"finestra","25"
"fon","25"
"forno","25"
"frigorifero","25"
"lavandino","25"
"lavatrice","24"
"letto","21"
"muro","25"
"poltrona","29"
"porta","21"
"quadro","28"
"radio","26"
"registratore","33"
"salotto","33"
"scala","24"
"sedia","22"
"seggiolone","24"
"tappeto","29"
"tavolo","24"
"televisione","22"
"terrazza","33"
"vasca da bagno","28"
"albero","23"
"altalena","24"
"ascensore","25"
"bandiera","29"
"benzina","28"
"campana","25"
"cielo","23"
"erba","24"
"fiore","21"
"foglia","25"
"fontana","28"
"fumo","25"
"garage","29"
"luna","22"
"nebbia","33"
"neve","24"
"nuvola","25"
"pioggia","22"
"piscina","26"
"pompa","32"
"prato","26"
"sasso","22"
"scivolo","24"
"sole","22"
"stella","22"
"strada","25"
"terra","23"
"tetto","26"
"torre","28"
"tubo","28"
"vento","25"
