"W1","W2","dist"
"acqua","aereo",6
"acqua","agnello",7
"acqua","albero",5
"acqua","altalena",9
"acqua","animale",8
"acqua","ape",4
"acqua","arancia",5
"acqua","aranciata",10
"acqua","armadio",7
"acqua","ascensore",10
"acqua","asciugamano",10
"acqua","asino",4
"acqua","aspirapolvere",13
"acqua","autobus",7
"acqua","automobile",11
"acqua","bagno",5
"acqua","bambola",5
"acqua","banana",6
"acqua","bandiera",9
"acqua","barca",4
"acqua","bavaglino",10
"acqua","benzina",9
"acqua","biberon",8
"acqua","bicchiere",10
"acqua","bicicletta",11
"acqua","bidè",6
"acqua","birilli",8
"acqua","biscotti",8
"acqua","bocca",4
"acqua","borsa",5
"acqua","bottiglia",8
"acqua","bottone",9
"acqua","braccio",6
"acqua","bretelle",9
"acqua","budino",8
"acqua","burro",6
"acqua","cacao",4
"acqua","caffe",5
"acqua","calze",5
"acqua","calzettoni",13
"acqua","camera",4
"acqua","camicia",7
"acqua","camion",5
"acqua","camomilla",9
"acqua","campana",7
"acqua","candeline",9
"acqua","cane",5
"acqua","cantina",7
"acqua","capelli",7
"acqua","cappello",8
"acqua","cappotto",8
"acqua","capra",4
"acqua","caramella",9
"acqua","carne",5
"acqua","carote",7
"acqua","casetta",6
"acqua","cassetto",8
"acqua","cavallo",7
"acqua","caviglia",6
"acqua","cerbiatto",10
"acqua","cestino",10
"acqua","chiave",6
"acqua","cielo",7
"acqua","ciliegie",11
"acqua","cinta",6
"acqua","cioccolata",11
"acqua","ciuccio",7
"acqua","coca cola",7
"acqua","coccodrillo",12
"acqua","cocomero",8
"acqua","collana",7
"acqua","colori",8
"acqua","coltello",9
"acqua","coniglio",8
"acqua","coperchio",7
"acqua","coperta",7
"acqua","costruzioni",15
"acqua","cracker",4
"acqua","crema",6
"acqua","cubi",6
"acqua","cucchiaio",7
"acqua","cucciolo",8
"acqua","cucina",8
"acqua","culla",5
"acqua","cuscino",8
"acqua","denti",6
"acqua","dentifricio",13
"acqua","disegno",8
"acqua","dito",6
"acqua","divano",7
"acqua","doccia",5
"acqua","elefante",9
"acqua","elicottero",11
"acqua","erba",4
"acqua","faccia",4
"acqua","fagioli",8
"acqua","fagiolini",11
"acqua","farfalla",7
"acqua","favola",4
"acqua","fazzoletto",12
"acqua","ferro da stiro",14
"acqua","finestra",7
"acqua","fiore",7
"acqua","foca",4
"acqua","foglia",5
"acqua","fon",6
"acqua","fontana",7
"acqua","forbici",8
"acqua","forchetta",7
"acqua","formaggio",8
"acqua","formica",7
"acqua","forno",6
"acqua","fotografia",11
"acqua","fragola",5
"acqua","frigorifero",12
"acqua","fumo",6
"acqua","gallina",7
"acqua","gallo",5
"acqua","gambe",5
"acqua","garage",7
"acqua","gatto",5
"acqua","gelato",8
"acqua","ghiaccio",6
"acqua","giacca",4
"acqua","ginocchi",8
"acqua","giocattolo",9
"acqua","giornale",9
"acqua","giraffa",7
"acqua","gola",5
"acqua","gomma da masticare",17
"acqua","gonna",5
"acqua","grembiule",9
"acqua","gru",6
"acqua","guance",6
"acqua","guanti",6
"acqua","gufo",6
"acqua","ippopotamo",11
"acqua","jeans",7
"acqua","jeep",6
"acqua","kiwi",5
"acqua","labbra",4
"acqua","latte",5
"acqua","lavandino",11
