"definition","age"
"meitemark","28"
"and","24"
"apekatt","22"
"bjørn","23"
"dyr","25"
"ekorn","26"
"elefant","22"
"elg","28"
"esel","32"
"fisk","20"
"flue","24"
"frosk","24"
"fugl","22"
"gås","35"
"gris","20"
"hane","25"
"hest","19"
"høne","24"
"hund","20"
"kanin","22"
"katt","19"
"kattunge","31"
"krokodille","24"
"ku","20"
"kylling","26"
"lam","26"
"lekebamse","20"
"løve","23"
"maur","27"
"mus","21"
"mygg","32"
"pingvin","27"
"ponni","35"
"reinsdyr","36"
"sau","22"
"sebra","26"
"sjiraff","24"
"skilpadde","27"
"sommerfugl","25"
"tiger","24"
"ugle","26"
"ulv","28"
"valp","35"
"veps","27"
"akebrett","25"
"barnevogn","23"
"bil","18"
"brannbil","25"
"båt","20"
"buss","20"
"fly","20"
"helikopter","24"
"lastebil","23"
"motorsykkel","25"
"sykkel","22"
"tog","20"
"traktor","21"
"trehjulssykkel","31"
"ball","16"
"ballong","20"
"blyant","27"
"bok","18"
"klosser","24"
"dukke","20"
"lego","25"
"eventyr","29"
"fargeblyant","31"
"presang","25"
"kritt","no"
"leke","22"
"lim","28"
"penn","27"
"plastilina","35"
"puslespill","25"
"spill","25"
"såpebobler","26"
"brødskive","21"
"agurk","23"
"appelsin","22"
"banan","17"
"boller","20"
"bønner","no"
"brød","22"
"brus","23"
"cola","30"
"corn flakes","36"
"dessert","28"
"drikke","20"
"druer","21"
"egg","21"
"eple","19"
"erter","29"
"fisk","21"
"frokostblanding","no"
"frukt","25"
"godteri","25"
"grøt","22"
"gulrot","23"
"hamburger","30"
"is","19"
"jordbær","25"
"juice","20"
"kaffe","23"
"kake","20"
"kjeks","20"
"kjøtt","26"
"kjøttkaker","26"
"knekkebrød","25"
"kylling","25"
"leverpostei","24"
"mat","20"
"matpakke","28"
"melk","19"
"melon","26"
"nøtter","31"
"nugatti","36"
"ost","20"
"pannekake","25"
"pasta","26"
"pizza","22"
"pølser","21"
"pommes frites","32"
"popcorn","32"
"poteter","23"
"potetgull","29"
"ris","24"
"ristet brød","no"
"rosiner","23"
"saft","22"
"salami","30"
"salt","29"
"saus","26"
"sjokolade","23"
"smør","23"
"spagetti","25"
"sukkertøy","34"
"suppe","26"
"syltetøy","24"
"te","27"
"tran","30"
"tyggegummi","29"
"vafler","25"
"vann","19"
"yoghurt","20"
"belte","28"
"bleie","18"
"bukse","20"
"dress","23"
"genser","22"
"glidelås","27"
"halskjede","32"
"hansker","30"
"jakke","20"
"joggesko","27"
"kjole","25"
"knapper","23"
"lue","19"
"pysjamas","22"
"regntøy","26"
"sandaler","27"
"shorts","28"
"skjerf","26"
"skjorte","28"
"sko","18"
"smekke","22"
"smokk","20"
"sokker","20"
"støvler","23"
"strømpebukse","24"
"strømper","30"
"tskjorte","28"
"tøfler","25"
"underbukse","28"
"votter","22"
"ankel","no"
"ansikt","25"
"arm","23"
"bein","24"
"finger","22"
"fot","21"
"hake","24"
"hånd","22"
"hår","21"
"hode","22"
"kinn","24"
"kne","25"
"lepper","29"
"mage","20"
"munn","20"
"navle","24"
"nese","19"
"øre","20"
"øye","19"
"pupp","20"
"rumpe","23"
"rygg","25"
"skulder","32"
"tenner","22"
"tiss","20"
"tunge","25"
"tå","22"
"bilde","22"
"boks","25"
"børste","23"
"bøtte","22"
"brett","32"
"briller","22"
"dopapir","25"
"dyne","22"
"eske","27"
"fat","27"
"flaske","22"
"gåbil","36"
"gaffel","23"
"glass","23"
"hammer","26"
"håndkle","25"
"kam","30"
"kamera","28"
"kasse","26"
"kjøkkenrull","no"
"klokke","22"
"kniv","23"
"kopp","20"
"kost","25"
"krukke","no"
"krus","34"
"lampe","24"
"lommebok","28"
"lys","18"
"medisin","28"
"nøkler","23"
"papir","23"
"penger","25"
"plante","30"
"pute","22"
"radio","28"
"saks","25"
"såpe","23"
"sekk","25"
"serviett","29"
"skål","28"
"skje","21"
"søppel","23"
"søppelbøtte","28"
"støvsuger","25"
"tallerken","25"
"tannbørste","23"
"telefon","22"
"teppe","23"
"veske","25"
"bad","19"
"badekar","25"
"balkong","no"
"barneseng","32"
"barnestol","31"
"bord","22"
"do","21"
"dør","23"
"dusj","21"
"garasje","27"
"gyngestol","no"
"kjeller","28"
"kjøkken","24"
"kjøleskap","25"
"komfyr","32"
"lekegrind","no"
"ovn","25"
"PC","29"
"potte","25"
"rom","25"
"seng","21"
"skap","25"
"skuff","26"
"sofa","23"
"soverom","27"
"stol","21"
"stue","25"
"terrasse","33"
"tørketrommel","36"
"trapp","23"
"TV","23"
"vask","25"
"vaskemaskin","27"
"vindu","25"
"badebasseng","28"
"bakgård","no"
"blomst","20"
"fjell","26"
"flagg","25"
"fortau","33"
"gress","24"
"gressklipper","30"
"himmel","25"
"huske","23"
"kjelke","32"
"måne","22"
"pinne","25"
"regn","24"
"sandkasse","25"
"sklie","23"
"skyer","27"
"snø","22"
"snømann","26"
"sol","22"
"spade","22"
"steiner","23"
"stige","28"
"stjerner","25"
"tak","25"
"trampoline","27"
"tre","23"
"vann","20"
"vannslange","31"
"vei","25"
"vind","27"
