"W1","W2","dist"
"agurk","akebrett",7
"agurk","and",4
"agurk","ankel",5
"agurk","ansikt",5
"agurk","apekatt",7
"agurk","appelsin",10
"agurk","arm",4
"agurk","bad",5
"agurk","badebasseng",11
"agurk","badekar",7
"agurk","bakgård",5
"agurk","balkong",6
"agurk","ball",6
"agurk","ballong",6
"agurk","banan",5
"agurk","barneseng",10
"agurk","barnestol",11
"agurk","barnevogn",11
"agurk","båt",6
"agurk","bein",6
"agurk","belte",7
"agurk","bil",6
"agurk","bilde",6
"agurk","bjørn",5
"agurk","bleie",6
"agurk","blomst",7
"agurk","blyant",7
"agurk","bok",5
"agurk","boks",6
"agurk","boller",6
"agurk","bønner",6
"agurk","bord",5
"agurk","børste",6
"agurk","bøtte",6
"agurk","brannbil",8
"agurk","brett",6
"agurk","briller",7
"agurk","brød",6
"agurk","brødskive",9
"agurk","brus",5
"agurk","bukse",6
"agurk","buss",5
"agurk","cola",6
"agurk","corn flakes",10
"agurk","dessert",6
"agurk","do",6
"agurk","dopapir",9
"agurk","dør",5
"agurk","dress",6
"agurk","drikke",7
"agurk","druer",6
"agurk","dukke",6
"agurk","dusj",5
"agurk","dyne",6
"agurk","dyr",5
"agurk","egg",4
"agurk","ekorn",5
"agurk","elefant",10
"agurk","elg",5
"agurk","eple",5
"agurk","erter",4
"agurk","esel",5
"agurk","eske",5
"agurk","eventyr",10
"agurk","fargeblyant",12
"agurk","fat",5
"agurk","finger",5
"agurk","fisk",5
"agurk","fisk",5
"agurk","fisk",5
"agurk","fisk",5
"agurk","fjell",6
"agurk","flagg",6
"agurk","flaske",6
"agurk","flue",5
"agurk","fly",6
"agurk","fortau",6
"agurk","fot",6
"agurk","frokostblanding",16
"agurk","frosk",5
"agurk","frukt",5
"agurk","fugl",5
"agurk","gåbil",7
"agurk","gaffel",6
"agurk","garasje",5
"agurk","gås",6
"agurk","genser",6
"agurk","glass",6
"agurk","glidelås",12
"agurk","godteri",9
"agurk","gress",6
"agurk","gressklipper",12
"agurk","gris",6
"agurk","grøt",6
"agurk","gulrot",7
"agurk","gyngestol",10
"agurk","hake",5
"agurk","halskjede",8
"agurk","hamburger",7
"agurk","hammer",6
"agurk","hånd",6
"agurk","håndkle",7
"agurk","hane",5
"agurk","hansker",7
"agurk","hår",5
"agurk","helikopter",12
"agurk","hest",6
"agurk","himmel",6
"agurk","hode",6
"agurk","høne",6
"agurk","hund",5
"agurk","huske",5
"agurk","is",5
"agurk","jakke",6
"agurk","joggesko",8
"agurk","jordbær",8
"agurk","juice",5
"agurk","kaffe",6
"agurk","kake",5
"agurk","kam",5
"agurk","kamera",6
"agurk","kanin",5
"agurk","kasse",6
"agurk","katt",6
"agurk","kattunge",6
"agurk","kinn",6
"agurk","kjeks",6
"agurk","kjelke",6
"agurk","kjeller",6
"agurk","kjøkken",6
"agurk","kjøkkenrull",9
"agurk","kjole",6
"agurk","kjøleskap",9
"agurk","kjøtt",6
"agurk","kjøttkaker",8
"agurk","klokke",7
"agurk","klosser",7
"agurk","knapper",7
"agurk","kne",6
"agurk","knekkebrød",11
"agurk","kniv",6
"agurk","komfyr",7
"agurk","kopp",6
"agurk","kost",6
"agurk","kritt",6
"agurk","krokodille",13
"agurk","krukke",6
"agurk","krus",5
"agurk","ku",5
"agurk","kylling",6
"agurk","kylling",6
"agurk","kylling",6
"agurk","kylling",6
"agurk","lam",5
"agurk","lampe",6
"agurk","lastebil",11
"agurk","lego",6
"agurk","leke",6
"agurk","lekebamse",12
"agurk","lekegrind",10
"agurk","lepper",6
"agurk","leverpostei",12
"agurk","lim",6
"agurk","lommebok",10
"agurk","løve",6
"agurk","lue",5
"agurk","lys",6
"agurk","mage",4
"agurk","måne",6
"agurk","mat",5
"agurk","matpakke",7
"agurk","maur",4
"agurk","medisin",11
"agurk","meitemark",8
"agurk","melk",5
"agurk","melon",7
"agurk","motorsykkel",11
"agurk","munn",5
"agurk","mus",5
"agurk","mygg",5
"agurk","navle",6
"agurk","nese",6
"agurk","nøkler",6
"agurk","nøtter",6
"agurk","nugatti",9
"agurk","øre",4
"agurk","ost",5
"agurk","ovn",5
"agurk","øye",5
"agurk","pannekake",10
"agurk","papir",5
"agurk","pasta",6
"agurk","PC",8
"agurk","penger",5
"agurk","penn",6
"agurk","pingvin",7
"agurk","pinne",6
"agurk","pizza",6
"agurk","plante",7
"agurk","plastilina",13
