"definition","age"
"víbora","30"
"venado","no"
"vaca","21"
"tortuga","25"
"tigre","no"
"ratón","25"
"rana","25"
"puerco","27"
"pollito","22"
"pingüino","no"
"pescado","25"
"perro","18"
"pato","21"
"pájaro","21"
"oso","21"
"mosco","27"
"mosca","24"
"mono","26"
"mariposa","28"
"lobo","30"
"león","25"
"jirafa","30"
"hormiga","26"
"hipopótamo","no"
"guajolote","no"
"gato","20"
"ganso","no"
"gallina","25"
"foca","29"
"elefante","25"
"conejo","25"
"cocodrilo","no"
"cebra","no"
"caballo","20"
"burro","24"
"búho","no"
"buey","no"
"borrego","27"
"bicho","no"
"ardilla","no"
"araña","24"
"animal","26"
"abeja","30"
"trineo","no"
"triciclo","25"
"tren","24"
"tractor","no"
"moto","23"
"helicóptero","30"
"carro","18"
"carreola","no"
"camión","25"
"camión de bombero","no"
"bicicleta","25"
"barco","27"
"avión","21"
"autobús","no"
"agua","16"
"arroz","23"
"atole","30"
"atún","27"
"azúcar","25"
"café","25"
"calabaza","no"
"carne","21"
"cereal","no"
"chícharo","30"
"chicle","24"
"chile","22"
"chocolate","21"
"comida","23"
"dulce","22"
"durazno","30"
"ejotes","no"
"elote","26"
"espagueti","no"
"fresa","27"
"frijoles","23"
"galleta","19"
"gelatina","22"
"hamburguesa","no"
"helado","25"
"hielo","29"
"hot cakes","no"
"huevo","20"
"jamón","23"
"jugo","20"
"leche","16"
"licuado","no"
"limonada","no"
"cacahuete","27"
"mantequilla","no"
"manzana","23"
"melón","26"
"mermelada","no"
"naranja","23"
"paleta","20"
"palomitas","26"
"pan","16"
"pan dulce","no"
"papas","18"
"papitas","25"
"pasas","30"
"pastel","23"
"peanut butter","no"
"pescado","27"
"plátano","21"
"pollo","21"
"quesadilla","28"
"queso","24"
"sal","23"
"salchicha","24"
"salsa","no"
"sandía","28"
"soda","20"
"sopa","18"
"taco","23"
"té","27"
"torta","30"
"tortilla","22"
"uvas","24"
"vainilla","no"
"vitaminas","no"
"yoghurt","25"
"zanahoria","28"
"botón","25"
"bufanda","no"
"calcetín","22"
"calzón","23"
"camisa","26"
"chancla","25"
"cierre","no"
"collar","no"
"falda","28"
"gorra","24"
"guantes","30"
"lentes","25"
"medias","no"
"pañal","19"
"pantalón","23"
"pijama","26"
"playera","30"
"ropa","24"
"shorts","29"
"sombrero","27"
"suéter","24"
"vestido","26"
"zapato","16"
"barba","no"
"bigote","30"
"boca","19"
"brazo","25"
"cabeza","19"
"cachete","25"
"cara","23"
"chichi","20"
"dedo","21"
"dientes","21"
"garganta","30"
"hombro","28"
"labios","27"
"lengua","23"
"mano","18"
"nalgas","25"
"nariz","19"
"ojos","19"
"ombligo","26"
"oreja","23"
"panza","22"
"pelo","20"
"pene","26"
"piernas","25"
"pies","19"
"rodilla","26"
"vagina","no"
"bat","no"
"burbujas","30"
"colores","25"
"crayolas","30"
"globo","18"
"hoja","23"
"juguete","23"
"lápiz","23"
"libro","25"
"muñeca","23"
"osito","23"
"patines","30"
"pelota","16"
"pinturas","29"
"plastilina","no"
"pluma","26"
"tambor","30"
"triciclo","25"
"botas","25"
"bolsa","24"
"babero","26"
"aretes","25"
"abrigo","no"
"almohada","25"
"aspiradora","no"
"basura","21"
"bolsa","23"
"botella","19"
"caja","25"
"cámara","no"
"canasta","no"
"cassette","28"
"cepillo de dientes","24"
"cepillo","22"
"cerillos","27"
"chupón","25"
"cigarros","30"
"clavo","no"
"cobija","25"
"cuadro","no"
"cubeta","26"
"cuchara","22"
"cuchillo","25"
"dinero","23"
"escoba","25"
"espejo","26"
"fotos","23"
"jabón","21"
"lámpara","30"
"llave","23"
"luz","21"
"martillo","no"
"medicina","24"
"olla","27"
"pañuelo","no"
"papel","22"
"pasta de dientes","26"
"peine","21"
"periódico","no"
"plancha","27"
"plato","22"
"radio","26"
"reloj","25"
"servilleta","26"
"tapete","no"
"taza","25"
"teléfono","22"
"tenedor","26"
"tijeras","27"
"toalla","25"
"trapo","27"
"vasos","22"
"vela","30"
"alberca","no"
"árbol","24"
"bandera","30"
"cielo","25"
"coladera","no"
"columpio","26"
"estrella","25"
"flor","24"
"fuego","no"
"hojas","26"
"leña","no"
"lluvia","25"
"luna","23"
"maceta","30"
"manguera","30"
"muñeco de nieve","no"
"nieve","no"
"nube","26"
"pala","no"
"palo","24"
"pasto","27"
"piedra","25"
"planta","27"
"reja","no"
"resbaladilla","29"
"sol","23"
"tanque","no"
"techo","30"
"tierra","25"
"timbre","30"
"viento","27"
"bacinica","26"
"banco","28"
"baño","21"
"cajón","26"
"cama","20"
"champú","24"
"cochera","no"
"cocina","25"
"computadora","no"
"cuarto","25"
"cuna","23"
"escaleras","25"
"estufa","27"
"horno","no"
"lavabo","no"
"lavadora","30"
"librero","no"
"mesa","21"
"mueble","no"
"patio","28"
"puerta","23"
"recámara","no"
"refrigerador","27"
"regadera","28"
"ropero","no"
"sala","27"
"secadora","no"
"silla","20"
"sillón","25"
"sofá","no"
"televisión","22"
"tina","26"
"ventana","25"
