"W1","W2","dist"
"abeja","abrigo",4
"abeja","agua",5
"abeja","alberca",4
"abeja","almohada",6
"abeja","animal",6
"abeja","araña",3
"abeja","árbol",6
"abeja","ardilla",4
"abeja","aretes",5
"abeja","arroz",4
"abeja","aspiradora",9
"abeja","atole",4
"abeja","atún",4
"abeja","autobús",7
"abeja","avión",5
"abeja","azúcar",4
"abeja","babero",4
"abeja","bacinica",7
"abeja","banco",5
"abeja","bandera",5
"abeja","baño",4
"abeja","barba",4
"abeja","barco",5
"abeja","basura",4
"abeja","bat",4
"abeja","bicho",5
"abeja","bicicleta",8
"abeja","bigote",6
"abeja","boca",3
"abeja","bolsa",4
"abeja","bolsa",4
"abeja","bolsa",4
"abeja","bolsa",4
"abeja","borrego",5
"abeja","botas",4
"abeja","botella",5
"abeja","botón",6
"abeja","brazo",5
"abeja","buey",4
"abeja","bufanda",6
"abeja","búho",4
"abeja","burbujas",5
"abeja","burro",4
"abeja","caballo",4
"abeja","cabeza",2
"abeja","cacahuete",7
"abeja","cachete",5
"abeja","café",5
"abeja","caja",3
"abeja","cajón",5
"abeja","calabaza",6
"abeja","calcetín",8
"abeja","calzón",6
"abeja","cama",4
"abeja","cámara",6
"abeja","camión",6
"abeja","camión de bombero",14
"abeja","camisa",4
"abeja","canasta",5
"abeja","cara",4
"abeja","carne",6
"abeja","carreola",6
"abeja","carro",5
"abeja","cassette",7
"abeja","cebra",5
"abeja","cepillo",6
"abeja","cepillo de dientes",15
"abeja","cereal",7
"abeja","cerillos",7
"abeja","champú",7
"abeja","chancla",6
"abeja","chícharo",7
"abeja","chichi",6
"abeja","chicle",6
"abeja","chile",5
"abeja","chocolate",10
"abeja","chupón",7
"abeja","cielo",4
"abeja","cierre",5
"abeja","cigarros",7
"abeja","clavo",5
"abeja","cobija",3
"abeja","cochera",6
"abeja","cocina",5
"abeja","cocodrilo",10
"abeja","coladera",7
"abeja","collar",6
"abeja","colores",7
"abeja","columpio",8
"abeja","comida",5
"abeja","computadora",10
"abeja","conejo",4
"abeja","crayolas",6
"abeja","cuadro",6
"abeja","cuarto",6
"abeja","cubeta",3
"abeja","cuchara",6
"abeja","cuchillo",7
"abeja","cuna",4
"abeja","dedo",4
"abeja","dientes",7
"abeja","dinero",6
"abeja","dulce",6
"abeja","durazno",7
"abeja","ejotes",6
"abeja","elefante",8
"abeja","elote",5
"abeja","escaleras",8
"abeja","escoba",5
"abeja","espagueti",7
"abeja","espejo",4
"abeja","estrella",6
"abeja","estufa",5
"abeja","falda",5
"abeja","flor",5
"abeja","foca",4
"abeja","fotos",6
"abeja","fresa",3
"abeja","frijoles",8
"abeja","fuego",4
"abeja","galleta",3
"abeja","gallina",4
"abeja","ganso",6
"abeja","garganta",6
"abeja","gato",5
"abeja","gelatina",7
"abeja","globo",5
"abeja","gorra",4
"abeja","guajolote",9
"abeja","guantes",7
"abeja","hamburguesa",7
"abeja","helado",5
"abeja","helicóptero",12
"abeja","hielo",4
